NA,27724,28349,26231,28809,26166,28801,23182,30706,28262,23474,19409,29137,31137,27634,19753,20893,24868,18036,24814,23977,30430,27289,11451,23933,19819,19671,13899,21233,23870,27813,27608,26287,20903,17242,22059,21220,23447,21685,26478,30575,24252,25632,9245,14499,25113,12468,27989,11872,28203,20688,30127,27004,13432,23744,11009,23505,19914,26582,21682,12386,26730,16886,22631,16176,18088,21909,22659,24211,24717,28148,16606,21750,24845,26949,20070,5832,18016,22561,25909,25521,30091,25971,8887,17065,13991,9000,18514,3563,18563,13868,12606,15712,20020,22776,19403,23357,15879,8468,18306,23010,25349,25532,12486,11453,8419,15402,13175,13496,15572,21042,15397,10263,18096,8574,15530,22956,20489,17150,12304,22789,20680,13665,24237,25949,30861,20648,19057,28615,28141,28345,29747,27655,8654,18549,25178,15101,22692,21942,27858,8959,10537,23678,21396,11578,22194,19105,20719,19611,21584,17485,18940,14213,12178,9373,12110,13604,5842,13339,10616,19298,9156,11742
27724,NA,28614,27493,29462,26332,30166,23851,32286,29372,24530,19951,30405,32446,28647,20780,21544,26085,18619,25600,24841,31583,28339,11968,24857,20580,20659,14421,22230,25146,29096,28725,27362,21740,18388,23023,22224,24367,22431,27456,32012,25061,26639,9788,16009,26692,13803,29293,12880,29612,22395,31435,28550,13912,25026,11615,24740,20935,27863,22575,12977,27963,17683,24003,17325,19441,22945,23682,25053,25948,29333,17419,22981,25850,28477,20635,5993,18578,23491,27291,26627,31608,26765,9045,17933,14498,9089,19345,3577,19046,14270,12822,16154,21292,23988,20657,24703,16558,8938,19475,24146,26664,26784,13066,11898,8700,16448,13818,14614,16696,22120,16557,10794,19569,9027,16093,24154,21571,18264,13080,23786,21601,14523,25452,27622,32698,21140,20307,29948,29288,29781,31205,28930,8514,18934,25967,15232,23307,22449,28902,8164,10305,24207,22600,11972,23331,19889,21457,20460,22503,17903,19367,14511,12817,9771,12862,14483,6238,14125,11452,20268,9268,12264
28349,28614,NA,27794,28882,26013,30470,24543,32944,30373,24928,20516,31496,33306,29097,20976,22609,26615,19385,25985,25064,32532,29212,11482,24472,19984,20030,14124,21890,24383,28947,28733,27141,20960,17826,22756,21814,23949,22264,27273,32682,25107,26465,8849,14428,26264,12656,28944,12452,30365,21136,32243,28865,13870,25567,11668,24892,20643,28389,23478,13440,28608,18704,22364,15709,18264,21254,22302,24058,25017,29328,16309,21962,27091,29094,21915,6748,20008,24475,28203,27855,32618,28225,10002,19088,15840,10258,20480,3914,20078,15653,14096,17067,22301,25644,21758,26148,17094,9237,19470,24935,27828,27919,14264,13676,10468,17643,15265,15973,17681,22709,17013,12009,21043,10396,18172,25857,23129,19554,14344,25261,23191,16102,26798,27312,33347,21170,20347,30956,30513,30703,32197,29588,10371,20787,27670,17392,24600,24222,30382,10618,12596,25558,23312,11582,23631,20423,21776,21062,23238,18050,19607,14510,13845,10532,13451,15123,7001,14705,11622,21498,10123,13240
26231,27493,27794,NA,27145,24286,29024,23881,31653,28296,23633,19424,29229,31107,27406,20335,20713,25097,17941,24317,23530,30532,27296,11205,22970,19161,19262,13203,20999,23313,27187,27200,25528,20002,16838,21345,20922,22739,20932,25550,30633,23467,25098,8456,14149,25104,12333,27842,11777,28732,20500,30114,27252,12804,23828,10417,23176,19081,26591,21573,11908,26733,17445,21922,15768,17681,20619,21985,22950,23976,28128,15996,21234,25423,27342,20526,6013,18228,22217,26096,25433,30598,26227,9007,17421,14753,9139,18766,3443,18008,13853,12449,15764,20627,23903,19989,24166,15851,8549,18070,23019,26047,26249,12440,11945,8758,16256,13387,14210,16009,21029,15870,10364,19492,9391,16061,23819,21635,17936,13006,23493,21271,14932,24446,25539,31142,20039,18849,28883,28530,28746,30074,28343,8755,18228,25521,15323,22810,21911,27958,8873,11104,23236,21409,10550,22274,18471,20200,19277,21379,16388,18162,12990,12673,9437,12637,14131,6284,13658,11197,19867,9229,12498
28809,29462,28882,27145,NA,27787,30542,24176,32713,29985,24620,20503,30794,33113,29135,20853,21610,26287,19402,26474,25714,32434,29010,12427,25454,20867,21341,14995,22961,25976,29844,29604,28236,22072,18225,23271,22311,24858,22552,28019,32731,25634,27415,10061,15590,27664,13616,30403,13265,30531,22453,32303,29226,14070,25173,11696,25007,21015,28477,23127,13182,28611,18197,24042,17165,19430,23249,23761,25669,26389,30104,17780,23543,26166,28600,21097,5980,18671,23534,27766,27147,32383,27476,9354,18148,14751,9538,19693,3813,19929,14863,13804,17030,21900,24490,21014,25247,17021,9117,19956,24850,27334,27463,13531,12133,8718,16767,14204,15533,17583,22865,17307,11273,19633,8956,16017,24290,21626,18365,13091,24312,22031,14612,25779,27668,32850,21314,20357,30602,29904,30400,31852,29595,9109,19649,26686,15780,24144,23041,29715,9456,11538,25312,22525,11840,23306,19981,21676,20936,22892,18363,19928,15034,12973,9948,12981,14663,6154,14406,11523,20682,9746,12746
26166,26332,26013,24286,27787,NA,27109,21289,28805,26417,22420,18352,27520,29599,26147,18419,19867,23876,17142,23825,22859,28667,25661,11452,23362,19349,19519,13791,20765,23228,26760,26396,25203,20023,16409,20704,19979,22277,20501,24970,28796,22817,24310,9069,13801,23801,11901,26582,11179,26732,19718,28402,25308,12766,22532,10537,22473,19016,25151,20586,12110,25333,16102,22214,15562,17440,21400,21658,23345,23761,26599,16142,20855,23345,25367,18899,5471,16553,21087,24411,24014,28336,24404,7894,15607,12656,7929,17197,3210,17057,12520,11528,14231,18803,21420,18284,21919,15127,7925,17478,21550,23749,23934,11656,10371,7775,14307,12281,12943,14786,19958,14782,9451,16610,7442,13820,20959,18548,16164,11339,20966,18686,12177,22937,24792,29305,19582,18392,26946,26474,26728,27897,25884,7864,17373,23589,14088,21777,20607,26104,8070,9631,22318,19991,11090,21017,18089,19863,18459,20174,16639,17801,13640,10643,8101,11016,12563,5182,12424,9897,17386,8197,10438
28801,30166,30470,29024,30542,27109,NA,25766,34901,32108,25729,21379,32811,35032,30628,22089,23325,28185,20291,27936,26356,34454,30932,12629,26041,21437,21754,15283,24193,26659,30975,31014,29307,22469,18697,23929,23254,25607,23471,29098,34665,26660,28587,9395,15392,27813,13449,30685,12817,32277,23030,34131,30782,14676,27079,12238,26513,21939,30415,24982,14100,30666,20085,24193,16829,19144,22660,23738,25871,27031,31256,17668,23597,27980,30245,22563,6512,19840,24879,29341,28712,34462,29451,10092,19348,16139,10423,21063,3861,21199,16136,14917,18273,23010,26318,21878,26655,17645,9307,20120,26132,29228,29454,14771,13723,10572,18427,15724,17249,19425,24567,18915,12733,21625,10122,17649,26527,23685,20100,14419,26478,23926,16604,27273,28497,34726,21761,20944,32482,32046,32280,33900,31484,10241,21128,28587,17539,25713,24943,31735,10836,13085,26971,24074,12297,25050,21094,22948,22445,24753,19493,21336,15599,14075,10636,13856,15675,6854,15187,12183,22367,10444,14489
23182,23851,24543,23881,24176,21289,25766,NA,29209,26858,20935,17638,26520,28171,24615,18275,18134,22211,18198,23483,22337,28642,25845,9818,20376,16558,16544,11842,19860,21789,25320,25242,24196,18237,15445,19383,18737,20721,18577,24410,28866,22614,23908,7596,12264,22031,10885,24248,10405,26916,19537,28408,25648,11247,20810,9585,20413,17010,24828,20679,12263,25115,16752,19073,13364,15789,17826,18973,21624,22481,26421,15505,20172,22865,24413,18604,5354,15900,19833,24450,24370,28654,24896,8102,15475,12615,8211,16661,3151,17918,13747,13297,15749,18763,21348,17922,21553,14546,7848,16184,22407,24648,24839,10948,11124,8038,14207,11404,14258,15839,20348,15626,10643,17102,8295,14406,21182,19166,15764,11545,22585,20616,14773,22171,22810,27870,17899,16848,27449,26854,27336,28291,27020,7947,16654,22638,13513,20455,19472,25101,9759,11672,22229,18861,9312,19303,16810,17968,18774,20739,16290,17659,13559,11539,8962,11608,12568,5593,12015,9740,19244,9762,12809
30706,32286,32944,31653,32713,28805,34901,29209,NA,36276,28393,23799,36475,38974,33844,24537,25634,30868,23844,31842,30119,39128,35308,13753,28611,23063,23659,16619,27469,30244,35038,35055,33216,24400,20576,26255,25825,28019,25451,32966,39280,30526,32831,9915,16646,30535,14564,33556,13911,36654,25966,38784,34848,15834,29286,13229,28575,23590,34228,28411,16366,34508,23168,25963,17999,20992,24226,25528,28962,30365,35555,20068,26660,31313,33468,25279,7306,21443,26990,33208,32709,39161,33613,11294,21525,17800,11645,23445,4033,24964,19387,18041,21636,25701,29489,24519,29849,19699,10438,22038,30188,33469,33792,16552,15727,12051,20390,17465,20625,22916,28330,22383,15232,23925,11213,19350,29283,26265,21602,15856,30225,27641,19365,30348,31403,38602,23952,23181,37087,36500,37005,38600,36077,11433,23822,31874,19548,28781,27669,35476,13360,15931,30959,26454,12965,27301,23160,25035,25677,28163,22175,24425,17891,15806,11916,15623,17481,7606,16877,13567,26021,12927,17650
28262,29372,30373,28296,29985,26417,32108,26858,36276,NA,26606,22296,34262,36532,31764,22935,24317,28877,22564,30107,28221,36766,33423,12760,26707,21646,21842,15497,25780,28121,32695,32882,31334,22743,19057,24499,24122,26156,23961,31094,37012,28823,30962,8929,14895,28090,12973,30844,12669,34228,23813,36275,32494,14798,27121,12598,26313,21845,31876,26682,15634,32149,21774,23409,16300,19017,22009,23283,26757,27905,32861,18534,24572,29658,31180,24117,6998,20047,25315,31090,31004,36655,31487,10756,20218,16707,11609,22169,4175,24115,19017,17574,20730,24202,27710,22869,27879,18826,9942,20538,28299,31552,31881,16101,15442,12029,19354,16865,19885,21977,26873,21446,14933,22077,10401,17906,27232,24515,19860,14662,28408,25931,18053,28678,29350,36066,22453,21564,34860,34332,34726,36329,33708,11715,22816,30165,19138,27328,26462,33417,13709,15694,29654,24574,12297,25507,21889,23551,24177,26476,21058,23222,17133,14912,11316,14369,16422,6640,15439,12084,24599,12535,16969
